SMILES,log2_K
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-12.4804
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-11.8817
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-11.6789
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-11.648
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-12.6554
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-11.687
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-11.2521
CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,-9.5873
CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,-10.3808
CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,-11.3504
C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,-9.3617
C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,-9.2538
C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,-13.9092
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-11.7027
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,-10.7434
CC(=O)NC1=CC=C(C=C1)O,-8.1046
CC(=O)NC1=CC=C(C=C1)O,-12.7517
CC(=O)NC1=CC=C(C=C1)O,-12.3873
CC(=O)NC1=CC=C(C=C1)O,-13.3541
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,-11.9467
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,-11.4397
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,-11.687
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,-11.1339
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,-10.7768
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,-11.0767
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,-12.0761
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,-11.1667
C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,-11.6096
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,-10.4907
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,-9.7704
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,-8.8428
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,-8.3832
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-6.748
